acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.0406,0.794,453533,0.688,0,0.000187,7,0.271,-7.282,1,40,0.0447,102.088,0.567,2001
0.769,0.479,204387,0.329,0,0.199,10,0.102,-12.219,1,40,0.0258,102.704,0.549,2001
0.0167,0.644,238853,0.904,0,4.75E-06,9,0.341,-3.518,1,43,0.044,95.995,0.416,2001
0.136,0.629,220667,0.856,1,0,0,0.0822,-2.977,0,44,0.289,167.04,0.699,2001
0.731,0.168,276693,0.397,0,0.0378,7,0.116,-7.619,0,50,0.0323,84.393,0.0497,2001
0.384,0.797,234773,0.847,1,0.000388,6,0.0566,-1.79,0,48,0.237,100.178,0.962,2001
0.619,0.621,366360,0.723,0,0,10,0.916,-4.944,0,43,0.0393,91.204,0.782,2001
0.00151,0.58,222707,0.925,0,0.0013,4,0.124,-3.904,1,43,0.0482,100.155,0.526,2001
0.876,0.377,275560,0.0475,0,0.545,2,0.311,-23.78,1,48,0.04,104.002,0.114,2001
0.0132,0.757,272507,0.369,0,0,9,0.0935,-10.96,1,42,0.591,73.693,0.858,2001
0.649,0.558,174333,0.529,0,0.000294,0,0.182,-4.496,1,41,0.0396,80.205,0.367,2001
0.0453,0.764,231493,0.851,1,0,4,0.0899,-5.182,1,45,0.239,79.01,0.884,2001
0.462,0.571,227950,0.628,0,0,2,0.26,-4.578,1,48,0.0286,80.073,0.845,2001
0.0535,0.441,227027,0.834,0,0,11,0.165,-6.895,1,40,0.0596,158.487,0.527,2001
0.00236,0.371,268707,0.696,0,3.12E-06,7,0.0857,-5.516,0,55,0.0294,75.723,0.209,2001
0.713,0.433,135907,0.564,0,0.275,9,0.117,-8.917,0,40,0.0405,192.073,0.855,2001
0.373,0.609,324440,0.678,0,0.00179,4,0.114,-10.26,0,40,0.0661,77.651,0.741,2001
0.0979,0.523,237187,0.833,0,0.00178,7,0.129,-6.146,1,43,0.0405,119.756,0.883,2001
0.024,0.865,219560,0.384,0,0.434,10,0.0682,-11.953,1,48,0.0577,122.48,0.852,2001
0.805,0.559,289280,0.23,0,0.876,7,0.0776,-20.178,0,47,0.0309,151.987,0.461,2001
0.0793,0.827,216667,0.518,0,0.331,7,0.101,-10.018,0,40,0.046,122.477,0.909,2001
0.477,0.323,400800,0.34,0,6.67E-05,9,0.622,-11.013,1,47,0.0308,135.842,0.0983,2001
0.897,0.306,167400,0.0162,0,0.635,7,0.107,-26.756,1,48,0.0307,90.331,0.038,2001
0.064,0.875,257133,0.771,0,0,6,0.0393,-4.052,1,40,0.321,106.022,0.642,2001
